Plate,State,License Type,Issue Date,Violation Time,Violation,Payment Amount,Precinct,County
AXYP08,FL,PAS,2021-03-05,09:07A,NO PARKING-STREET CLEANING,65.0,19.0,NY
JXF7065,PA,PAS,2021-10-22,10:20P,FIRE HYDRANT,0.0,43.0,
KJJ8773,NY,PAS,2021-03-10,07:58P,FIRE HYDRANT,115.0,72.0,K
JCY4748,NY,PAS,2021-02-04,09:30A,FIRE HYDRANT,115.0,47.0,BX
HMU4546,NY,PAS,2021-01-29,08:23A,NO PARKING-STREET CLEANING,65.0,79.0,K
N88KRF,NJ,PAS,2021-03-08,08:07A,NO PARKING-DAY/TIME LIMITS,60.0,76.0,K
JFH9265,NY,PAS,2021-05-08,09:55A,OBSTRUCTING DRIVEWAY,95.0,108.0,
JSD7987,NY,PAS,2021-02-12,09:15A,NO STANDING-EXC. AUTH. VEHICLE,95.0,108.0,Q
JBT7676,NY,PAS,2021-01-11,07:53A,NO STANDING-EXC. AUTH. VEHICLE,95.0,108.0,Q
UVT22W,NJ,PAS,2021-02-23,09:50A,NO STANDING-DAY/TIME LIMITS,115.0,108.0,Q
29097ML,NY,COM,2021-03-03,11:11A,NO STANDING-DAY/TIME LIMITS,100.0,17.0,NY
GXB3563,NY,PAS,2021-02-13,11:10A,NO PARKING-DAY/TIME LIMITS,65.0,14.0,NY
KKE3611,NY,PAS,2021-03-07,06:49A,FIRE HYDRANT,115.0,33.0,NY
12286MG,NY,COM,2021-03-01,02:58P,NO STANDING-DAY/TIME LIMITS,100.0,1.0,NY
78983MG,NY,COM,2021-03-16,12:41P,NO STANDING-DAY/TIME LIMITS,115.0,1.0,NY
78234MK,NY,COM,2021-03-16,03:19P,NO STANDING-DAY/TIME LIMITS,115.0,1.0,NY
KHF9791,NY,PAS,2021-03-09,07:08A,NO PARKING-DAY/TIME LIMITS,60.0,76.0,K
JBB5678,NY,PAS,2021-03-09,09:51A,NO PARKING-STREET CLEANING,65.0,76.0,K
JAE7433,NY,PAS,2021-03-15,08:43A,NO PARKING-STREET CLEANING,65.0,76.0,K
KED1886,NY,PAS,2021-03-16,08:20A,NO STANDING-DAY/TIME LIMITS,115.0,76.0,K
96541MJ,NY,COM,2021-02-23,06:08P,NO STANDING-EXC. AUTH. VEHICLE,60.0,1.0,NY
HKM5045,NY,PAS,2021-05-05,04:37P,SIDEWALK,115.0,114.0,Q
T758712C,NY,OMT,2021-02-10,05:50P,OBSTRUCTING DRIVEWAY,0.0,109.0,Q
R63HXN,NJ,PAS,2021-03-13,10:30P,SIDEWALK,115.0,67.0,K
JHS6635,NY,PAS,2021-02-23,08:22P,FIRE HYDRANT,115.0,67.0,K
HPN8671,NY,PAS,2021-02-06,08:55A,CROSSWALK,115.0,102.0,Q
XP9S914,CA,PAS,2021-02-20,06:40A,NO STANDING-DAY/TIME LIMITS,115.0,102.0,Q
